Organization name,Category,Description,Technologies,Topics,Link
Polly Labs,Programming Languages and Development Tools,Promoting Polyhedral Compilation,"llvm,integer set library,ppcg,pencil,poll","polyhedral compilation,parallelization,program verification,optimization,fpg",https://summerofcode.withgoogle.com/archive/2017/organizations/4788561849090048/
Portland State University,Other,Individual and Academic Open Source,"open hardware,language-agnosti","new projects,academic projects,individual project",https://summerofcode.withgoogle.com/archive/2017/organizations/5827042528460800/
PostgreSQL,Data and Databases,"PostgreSQL is a powerful, open source object-relational database system.","postgresql,c,perl,sq","database,rdbm",https://summerofcode.withgoogle.com/archive/2017/organizations/5443503559540736/
Public Lab,Other,Open hardware and software to help communities measure and analyze pollution," javascript, ruby,ruby on rail","environment,pollution,hardware,science,communit",https://summerofcode.withgoogle.com/archive/2017/organizations/6029803371102208/
Python Software Foundation,Science and Medicine,Python is a programming language used by scientists & software developers alike.,pytho,"hardware,programming languages, scienc",https://summerofcode.withgoogle.com/archive/2017/organizations/5370985721102336/
QEMU,Other,Open source machine emulator and virtualizer,"c,pytho","compiler,virtualization,emulation,hyperviso",https://summerofcode.withgoogle.com/archive/2017/organizations/4782716667035648/
Qubes OS,Operating Systems,A reasonably secure operating system,"c,python,shell,xen,linu","security,privacy,virtualization,operating syste",https://summerofcode.withgoogle.com/archive/2017/organizations/5074771758809088/
R project for statistical computing,Programming Languages and Development Tools,R is a free software environment for statistical computing and graphics,"r-project,c,c++,fortran,javascrip","data science,visualization,machine learning,statistics, graphic",https://summerofcode.withgoogle.com/archive/2017/organizations/5555424770129920/
radare2,Security,Radare2 reverse engineering framework and toolset,"c,rust,python,nodej",reverse engineerin,https://summerofcode.withgoogle.com/archive/2017/organizations/4795019735072768/
ReactOS,Operating Systems,"ReactOS is a free, open source, Windows compatible operating system.","c,c+","operating systems,drivers,desktop,kernel,window",https://summerofcode.withgoogle.com/archive/2017/organizations/6057879303880704/
Red Hen Lab,Science and Medicine,Research on Multimodal Communication,"high performance computing,machine learning,opencv,audio processing,multimodal analysi","natural language processing,co-speech gesture,big data visualization,deep learning,multimedi",https://summerofcode.withgoogle.com/archive/2017/organizations/6645492838563840/
RoboComp,Other,A simple robotics framework.,"c++,cmake,python,openscenegraph,q","computer vision,robotics,robotics simulatio",https://summerofcode.withgoogle.com/archive/2017/organizations/5477575937753088/
Rocket.Chat,Social / Communications,The ultimate open source chat and messaging platform,"javascript,meteor.js,mongo,webrt","chat,progressive web apps,realtime,collaboration,instant messagin",https://summerofcode.withgoogle.com/archive/2017/organizations/5788044225413120/
Rspamd,Social / Communications,High-performance spam filtering system,"c,lua,cmak","machine learning,email,spam filterin",https://summerofcode.withgoogle.com/archive/2017/organizations/5230067307249664/
RTEMS Project,Operating Systems,RTEMS is a real-time operating system used around the world and in space.,"c,python,posi","real time,operating system,kernel,embedded systems,multicor",https://summerofcode.withgoogle.com/archive/2017/organizations/6586933375401984/
Ruby on Rails,Web,Ruby on Rails make web application development easy and fun.,"html,ruby on rails,rub","web,full stac",https://summerofcode.withgoogle.com/archive/2017/organizations/5017499041005568/
Ruby Science Foundation,Science and Medicine,Tools for Scientific Computing in Ruby," ruby,science,web,data,gp","science,data,web,package management,hp",https://summerofcode.withgoogle.com/archive/2017/organizations/6710362682425344/
Sage Mathematical Software System,Science and Medicine,open source math software,"python,cython,c++,","mathematics,algorithm",https://summerofcode.withgoogle.com/archive/2017/organizations/5071296056524800/
Samba,Cloud,Opening windows to a wider world.,"c,pytho","samba,networks,interoperabilit",https://summerofcode.withgoogle.com/archive/2017/organizations/5093706659004416/
Scala,Programming Languages and Development Tools,The programming language where object-oriented meets functional.,"scala,jv","compiler,programming tools,functional programming,programming language",https://summerofcode.withgoogle.com/archive/2017/organizations/6452441306365952/
Scilab,End User Applications,Numerical computational package and high-level programming language.,"c++,java,python,c,openg","graphics,numerical computing,programming language,scientific visualizatio",https://summerofcode.withgoogle.com/archive/2017/organizations/6603475844595712/
ScummVM,End User Applications,ScummVM is a GSoC umbrella for game preservation projects,"c++,sdl,opengl,assembl","game,engines,software preservatio",https://summerofcode.withgoogle.com/archive/2017/organizations/6165044375060480/
Shogun Machine Learning Toolbox,Science and Medicine,Unified and efficient Machine Learning,"c/c++,python,swig,machine learning,cmak","machine learning, statistics, fast algorithms, bioinformatics, software engineerin",https://summerofcode.withgoogle.com/archive/2017/organizations/4704476053110784/
Sigmah,End User Applications,Java/GWT platform for humanitarian project management,"gwt,java,postgresq","humanitarian,project-managemen",https://summerofcode.withgoogle.com/archive/2017/organizations/5019976297611264/
Software Product Data Exchange (SPDX),Programming Languages and Development Tools,Promoting open source compliance through standard communication of SW licenses.,"rdf,python,java, github,","compliance,opensource,licensin",https://summerofcode.withgoogle.com/archive/2017/organizations/6300304437936128/
STE||AR Group,Other,The C++ Standards Library for Concurrency and Parallelism,"c++,boost,hpx,c++17 parallel stl,parallel algorithm","runtime systems,c++ standardizaion,algorithms,parallel computing,high performance computin",https://summerofcode.withgoogle.com/archive/2017/organizations/6145876204453888/
"Stony Brook University, Biomedical Informatics",Science and Medicine,Advance biomedical knowledge through innovative data science research,"big data,apache spark,matlab,c++,hadoo","biomedical informatics,medical imaging,bioinformtics,big data,databas",https://summerofcode.withgoogle.com/archive/2017/organizations/6367868836904960/
strace,Operating Systems,linux syscall tracer,"linux,c,git,shell script,mak","linux,syscall,tracing,c,gi",https://summerofcode.withgoogle.com/archive/2017/organizations/6249254993526784/
Sugar Labs,Programming Languages and Development Tools,"We make tools that learners use to explore, discover, create, and reflect."," python,javascript,gtk,androi","learning,educatio",https://summerofcode.withgoogle.com/archive/2017/organizations/4675168001589248/
Sustainable Computing Research Group ( SCoRe ),End User Applications,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python,java,gcp,android,gola","iot,security,mobile applications,embedded system",https://summerofcode.withgoogle.com/archive/2017/organizations/4984473024200704/
SymPy,Science and Medicine,SymPy is a Python library for symbolic mathematics.,"python,c+","mathematics, science,computer algebr",https://summerofcode.withgoogle.com/archive/2017/organizations/5228947662962688/
"Systers, an Anita Borg Institute community",Other,Helping women find their potential in code.,"android,ios,python,java,javascript","women in tech,games,peace corps,web,mobil",https://summerofcode.withgoogle.com/archive/2017/organizations/5429781541683200/
TEAMMATES @ National University of Singapore,Web,An online feedback management system for students and teachers,"java, javascript,google app engine,css,java e","education,peer feedback,webapps,saa",https://summerofcode.withgoogle.com/archive/2017/organizations/5786366906466304/
The Center for Connected Learning and Computer-Based Modeling,Programming Languages and Development Tools,NetLogo: A language and IDE for programming and scientific simulations,"javascript,scala,html","simulation,education,programming language,science, researc",https://summerofcode.withgoogle.com/archive/2017/organizations/4578118920568832/
The CGAL Project,Science and Medicine,C++ library of computational geometry and geometry processing,"c++,git,githu","computational geometry,geometry processing,mesh processing,triangulaton,arrangemen",https://summerofcode.withgoogle.com/archive/2017/organizations/6565611412914176/
The Eclipse Foundation,Other,"An amazing open source community of tools, projects, and  collaboration.","java,geo,iot,che,id","locationtech,developer tools,runtimes,framework",https://summerofcode.withgoogle.com/archive/2017/organizations/5043263878725632/
The FreeType Project,Graphics / Video / Audio / Virtual Reality,FreeType font rendering library,"fonts,opentype,c,librar","fonts,opentype,rendering,graphics,truetyp",https://summerofcode.withgoogle.com/archive/2017/organizations/4699374705704960/
The GNU Project,Operating Systems,GNU is an operating system that is free software,"c,guile,pytho",operating syste,https://summerofcode.withgoogle.com/archive/2017/organizations/5556772852989952/
The Honeynet Project,Security,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research," python,javascript,golang,android,network stac","security,honeypots,deception,research,malwar",https://summerofcode.withgoogle.com/archive/2017/organizations/5512685819002880/
The Java Pathfinder Team,Programming Languages and Development Tools,JPF is a highly extensible Java virtual machine built for software analysis,"java, jvm, android, distributed system","program analysis , testing , verification , model checking, environment generatio",https://summerofcode.withgoogle.com/archive/2017/organizations/4740037845450752/
The Julia Language,Programming Languages and Development Tools,A fresh approach to Technical Computing,"julia, javascript,gpu,c/c++,llv","graphics,plotting,numerical computing,high performance computing,linear algebr",https://summerofcode.withgoogle.com/archive/2017/organizations/6682672759832576/
The Libreswan Project,Security,Encrypting the internet using IKE and IPsec,"c,python, shell scrip","vpn,ipsec,ik",https://summerofcode.withgoogle.com/archive/2017/organizations/6311703818010624/
The Linux Foundation,Operating Systems,A non-profit consortium dedicated to fostering the growth of Linux,"c,c++,cups,mysql,gt","kernel,printing,lsb,wireless,wireguar",https://summerofcode.withgoogle.com/archive/2017/organizations/5902526847123456/
The MacPorts Project,End User Applications,Open Source package manager for Mac OS.,"tcl,make,gi","package manager,mac os x,maco",https://summerofcode.withgoogle.com/archive/2017/organizations/5223416953044992/
The NetBSD Foundation,Operating Systems,Of course it runs NetBSD!,"virtualization,filesystems,network stack,arm,mip","general purpose os,real unix,package management,free and open source softwar",https://summerofcode.withgoogle.com/archive/2017/organizations/5856162406727680/
The ns-3 Network Simulator Project,Other,ns-3 is a packet-level network simulator for research and education.,"c++,pytho","networking,computer networking,simulation,research and developmen",https://summerofcode.withgoogle.com/archive/2017/organizations/5226418732531712/
The Processing Foundation,Programming Languages and Development Tools,Our goal is to empower people of all backgrounds to learn how to program.,"java, javascript, python, android, openg","creative coding, graphics, web, education, desig",https://summerofcode.withgoogle.com/archive/2017/organizations/5256745899261952/
The Wine Project,Other,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c, opengl, directx, x11, win3","compatibility, desktop integratio",https://summerofcode.withgoogle.com/archive/2017/organizations/5417956825628672/
Tiled,End User Applications,"A free, easy to use and flexible 2D level editor.","qt,c++,git,githu","edit,editing,level,game,game developmen",https://summerofcode.withgoogle.com/archive/2017/organizations/6470814639587328/
TimVideos,Graphics / Video / Audio / Virtual Reality,"Software & hardware to recording + streaming conferences, meetings & usergroups.","python,verilog,fpga,vhdl,","hardware,embedded,video,fpg",https://summerofcode.withgoogle.com/archive/2017/organizations/6543856732471296/
Tor,Security,Internet privacy and anonymity,"c, python,javascript,c+","privacy, anonymity, counter-censorship,free-speec",https://summerofcode.withgoogle.com/archive/2017/organizations/5273949793419264/
UCSC Xena,Science and Medicine,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript,react,clojure,d3,pytho","genomics,data visualization,cancer, bioinformatics,web applicatio",https://summerofcode.withgoogle.com/archive/2017/organizations/4944943755821056/
"Urban Energy Systems Laboratory, Empa",Science and Medicine,HUES is a platform for modeling & analysis of distributed energy systems,"python,gis,fast fluid dynamic","distributed energy systems,modeling & optimization,data porta",https://summerofcode.withgoogle.com/archive/2017/organizations/4513544758362112/
VideoLAN,Graphics / Video / Audio / Virtual Reality,"A team of volunteers, believing in the power of open source multimedia.","c++,c,opengl,qt,assembl","video,audio,multimedi",https://summerofcode.withgoogle.com/archive/2017/organizations/4898083515138048/
ViSP,Graphics / Video / Audio / Virtual Reality,Visual tracking and visual servoing library,"vision, c+","robotics,visio",https://summerofcode.withgoogle.com/archive/2017/organizations/4892929554382848/
Wikimedia Foundation,Web,Global movement whose mission is to bring free educational content to the world,"php ,javascript , html , css , jquer"," web, wiki,encyclopedi",https://summerofcode.withgoogle.com/archive/2017/organizations/6468952502829056/
WorldBrain - Verifying the Internet with Science,Social / Communications,"Full-text search your history, bookmarks and all your apps.","reactjs, javascrip","fake-news,misinformation,search,digital knowledg",https://summerofcode.withgoogle.com/archive/2017/organizations/6393325913374720/
WSO2,Other,Comprehensive and open source middleware platform that spans the breadth of SOA,"soa,middleware,java,distributed computing,web service","cloud,iot,security,micro services,api managemen",https://summerofcode.withgoogle.com/archive/2017/organizations/6070843662663680/
wxWidgets,Programming Languages and Development Tools,Library for creating portable native GUIs in C++,"c++,gtk+,win32,coco","cross-platform,desktop,gu",https://summerofcode.withgoogle.com/archive/2017/organizations/5262324659126272/
X.Org Foundation,Graphics / Video / Audio / Virtual Reality,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl,vulkan,x11,wayland,openc","graphics stack,operating system,graphics,3d,vide",https://summerofcode.withgoogle.com/archive/2017/organizations/6339354280591360/
Xapian Search Engine Library,Data and Databases,"Fast, scalable and flexible search","c++,unicode,swig,linux,golan","search,information retrieval,machine learning,linguistics,indexin",https://summerofcode.withgoogle.com/archive/2017/organizations/6189339662876672/
XBMC Foundation,Graphics / Video / Audio / Virtual Reality,Kodi Media Center,"python,c++11,xml,git,drupa","media center,video player,audio,media managemen",https://summerofcode.withgoogle.com/archive/2017/organizations/5704018827411456/
Xen Project,Cloud,Bringing the power of virtualization everywhere,"linux,free/netbsd,asm/c/c++,qemu,ocam","virtualization,security,cloud computing,unikernels,embedded/automotiv",https://summerofcode.withgoogle.com/archive/2017/organizations/5748328394391552/
XMPP Standards Foundation,Social / Communications,Secure messaging with open standards,"xmpp,c++,java,erlang,javascrip","chat,messaging,instant messaging,social,communication",https://summerofcode.withgoogle.com/archive/2017/organizations/6062681614188544/
XWiki,Web,The Advanced Open Source Enterprise Wiki,"java, javascript, html5, css3, velocit","web development, web platform and services, wik",https://summerofcode.withgoogle.com/archive/2017/organizations/6636322546515968/
Zenodo,Science and Medicine,A free and open digital archive for the long-tail of science.,"python,postgresql,flask,angularjs,elasticsearc","content management,web,open science,digital library,machine learnin",https://summerofcode.withgoogle.com/archive/2017/organizations/4744852235354112/
Zulip,Social / Communications,"Powerful, modern, open source group chat, complete with apps for every platform.","python,django,javascript,react native,electro","enterprise,web development,group chat,cross-platform,mobile application",https://summerofcode.withgoogle.com/archive/2017/organizations/4533090483437568/
